 Parameters used:

First geneneration spectra extracted for
excitation energies between  6988.-   12. keV
corresponding to y-channels   218 -    0
 Number of spectra=  219
 Ax0 =    12.0 Ax1 =    32.0 Ay0 =    12.0 Ay1 =    32.0
 AxW0=     0.0 AxW1=     0.0 AyW0=     0.0 AyW1=     0.0
 Weighting: 0 Level density parameter a=
 Normalization= 2 Stat/Tot= 2 Areacorr.= 1
 Experimental lower gamma threshold:      200.0 keV (ch=   6)
 Upper threshold for statistical gammas:  200.0 keV (ch=   6)
 Average energy entry point in g.s. band:    0.(stat)     0.(tot)
 Sliding threshold given by Ex*R, with R = 0.30
 Multiplicities: MA = Af/Afg and ME = (Ex-ExEntry)/<Eg>

Iteration number:   1
Y-ch   Ex        Af        Ag       Afg  Mult    Sing Alpha MATot METot MASta MESta
164  5260.    13153.        0.    13153. 1.99    1000  0.00  1.00  1.99  1.00  1.99
163  5228.    13069.        0.    13069. 2.00    1000  0.00  1.00  2.00  1.00  2.00
162  5196.    12613.        0.    12613. 1.94    1000  0.00  1.00  1.94  1.00  1.94
161  5164.    12110.        0.    12110. 1.90    1000  0.00  1.00  1.90  1.00  1.90
160  5132.    13062.        0.    13062. 1.90    1000  0.00  1.00  1.90  1.00  1.90
159  5100.    12867.        0.    12867. 1.90    1000  0.00  1.00  1.90  1.00  1.90
158  5068.    13949.        0.    13949. 1.91    1000  0.00  1.00  1.91  1.00  1.91
157  5036.    14788.        0.    14788. 1.90    1000  0.00  1.00  1.90  1.00  1.90
156  5004.    15032.        0.    15032. 1.82    1000  0.00  1.00  1.82  1.00  1.82
155  4972.    17467.        0.    17467. 1.78    1000  0.00  1.00  1.78  1.00  1.78
154  4940.    18459.        0.    18459. 1.72    1000  0.00  1.00  1.72  1.00  1.72
153  4908.    19421.        0.    19421. 1.69    1000  0.00  1.00  1.69  1.00  1.69
152  4876.    21689.        0.    21689. 1.69    1000  0.00  1.00  1.69  1.00  1.69
151  4844.    21765.        0.    21765. 1.69    1000  0.00  1.00  1.69  1.00  1.69
150  4812.    20830.        0.    20830. 1.72    1000  0.00  1.00  1.72  1.00  1.72
149  4780.    20241.        0.    20241. 1.75    1000  0.00  1.00  1.75  1.00  1.75
148  4748.    20636.        0.    20636. 1.81    1000  0.00  1.00  1.81  1.00  1.81
147  4716.    22865.        0.    22865. 1.80    1000  0.00  1.00  1.80  1.00  1.80
146  4684.    23416.        0.    23416. 1.81    1000  0.00  1.00  1.81  1.00  1.81
145  4652.    23485.        0.    23485. 1.79    1000  0.00  1.00  1.79  1.00  1.79
144  4620.    23725.        0.    23725. 1.81    1000  0.00  1.00  1.81  1.00  1.81
143  4588.    21417.        0.    21417. 1.80    1000  0.00  1.00  1.80  1.00  1.80
142  4556.    19643.        0.    19643. 1.76    1000  0.00  1.00  1.76  1.00  1.76
141  4524.    18383.        0.    18383. 1.75    1000  0.00  1.00  1.75  1.00  1.75
140  4492.    17373.        0.    17373. 1.70    1000  0.00  1.00  1.70  1.00  1.70
139  4460.    16834.        0.    16834. 1.71    1000  0.00  1.00  1.71  1.00  1.71
138  4428.    15497.        0.    15497. 1.69    1000  0.00  1.00  1.69  1.00  1.69
137  4396.    14421.        0.    14421. 1.77    1000  0.00  1.00  1.77  1.00  1.77
136  4364.    14303.        0.    14303. 1.88    1000  0.00  1.00  1.88  1.00  1.88
135  4332.    12818.        0.    12818. 1.92    1000  0.00  1.00  1.92  1.00  1.92
134  4300.    13509.        0.    13509. 1.96    1000  0.00  1.00  1.96  1.00  1.96
133  4268.    12528.        0.    12528. 1.98    1000  0.00  1.00  1.98  1.00  1.98
132  4236.    12282.        0.    12282. 1.94    1000  0.00  1.00  1.94  1.00  1.94
131  4204.    13835.        0.    13835. 1.94    1000  0.00  1.00  1.94  1.00  1.94
130  4172.    13378.        0.    13378. 1.87    1000  0.00  1.00  1.87  1.00  1.87
129  4140.    12967.        0.    12967. 1.90    1000  0.00  1.00  1.90  1.00  1.90
128  4108.    13260.        0.    13260. 1.95    1000  0.00  1.00  1.95  1.00  1.95
127  4076.    13181.        0.    13181. 1.91    1000  0.00  1.00  1.91  1.00  1.91
126  4044.    12737.        0.    12737. 1.99    1000  0.00  1.00  1.99  1.00  1.99
125  4012.    12533.        0.    12533. 1.98    1000  0.00  1.00  1.98  1.00  1.98
124  3980.    11891.        0.    11891. 1.91    1000  0.00  1.00  1.91  1.00  1.91
123  3948.    11630.        0.    11630. 1.93    1000  0.00  1.00  1.93  1.00  1.93
122  3916.    11099.        0.    11099. 1.96    1000  0.00  1.00  1.96  1.00  1.96
121  3884.    11163.        0.    11163. 2.01    1000  0.00  1.00  2.01  1.00  2.01
120  3852.    10724.        0.    10724. 1.96    1000  0.00  1.00  1.96  1.00  1.96
119  3820.    10538.        0.    10538. 1.99    1000  0.00  1.00  1.99  1.00  1.99
118  3788.    10787.        0.    10787. 1.89    1000  0.00  1.00  1.89  1.00  1.89
117  3756.    11615.        0.    11615. 1.96    1000  0.00  1.00  1.96  1.00  1.96
116  3724.    12031.        0.    12031. 1.94    1000  0.00  1.00  1.94  1.00  1.94
115  3692.    11301.        0.    11301. 1.91    1000  0.00  1.00  1.91  1.00  1.91
114  3660.    11915.        0.    11915. 1.97    1000  0.00  1.00  1.97  1.00  1.97
113  3628.    10868.        0.    10868. 1.99    1000  0.00  1.00  1.99  1.00  1.99
112  3596.    10414.        0.    10414. 1.94    1000  0.00  1.00  1.94  1.00  1.94
111  3564.    10098.        0.    10098. 2.03    1000  0.00  1.00  2.03  1.00  2.03
