0.012	1.57E+00	2.99E-02
0.14	4.45E-01	2.11E-02
0.268	5.43E-01	1.99E-02
0.396	6.21E-01	2.92E-02
0.524	7.20E-01	3.66E-02
0.652	1.16E+00	5.79E-02
0.78	4.68E+00	1.59E-01
0.908	2.57E+00	1.44E-01
1.036	1.64E+00	1.34E-01
1.164	1.89E+00	1.60E-01
1.292	2.27E+00	1.68E-01
1.42	2.62E+00	2.33E-01
1.548	3.86E+00	3.19E-01
1.676	4.74E+00	3.96E-01
1.804	3.82E+00	3.88E-01
1.932	4.50E+00	4.38E-01
2.06	5.38E+00	5.75E-01
2.188	8.18E+00	7.60E-01
2.316	9.15E+00	1.02E+00
2.444	1.04E+01	1.27E+00
2.572	1.20E+01	1.53E+00
2.7		1.39E+01	2.01E+00
2.828	1.84E+01	2.65E+00
2.956	2.03E+01	3.25E+00
3.084	1.90E+01	3.65E+00
3.212	2.58E+01	5.14E+00
3.34	3.14E+01	6.36E+00
3.468	3.74E+01	7.10E+00
3.596	4.50E+01	9.40E+00
3.724	5.98E+01	1.15E+01
3.852	7.33E+01	1.54E+01
3.98	7.75E+01	2.11E+01
4.108	9.95E+01	2.92E+01
4.236	1.17E+02	3.09E+01
4.364	1.22E+02	3.79E+01
4.492	1.27E+02	4.93E+01
4.62	1.29E+02	7.61E+01
4.748	2.00E+02	9.72E+01
4.876	2.27E+02	1.47E+02
